Station,Avg_Daily_Ridership,Total_Ridership,Num_Months,Std_Dev,Period
Ashby,5022.621669209256,120542.92006102213,24,219.00919094687674,Pre-COVID
Downtown Berkeley,11566.352539038637,277592.4609369273,24,843.6830383083299,Pre-COVID
North Berkeley,4278.62141494354,102686.91395864496,24,180.026720225055,Pre-COVID
Ashby,1113.6269368524518,26727.046484458842,24,1216.9755563984031,During COVID
Downtown Berkeley,2569.361569114101,61664.677658738416,24,2822.2942035062006,During COVID
North Berkeley,878.7498474584572,21089.996339002973,24,1025.3687849335206,During COVID
Ashby,1487.163721845787,17845.964662149443,12,218.58556360745655,Post-COVID
Downtown Berkeley,4169.721945385532,50036.66334462639,12,692.284878267374,Post-COVID
North Berkeley,1318.6809962983878,15824.171955580652,12,210.33957048129724,Post-COVID
